institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Fred Hutchinson Cancer Center,1,3518625.0,3.518625,1.051622136840771
Seattle Children's Hospital,1,3466326.0,3.466326,1.0359913759229025
Banner Health,1,3394667.0,3.394667,1.0145744330250737
Banner MD Anderson Cancer Center,1,3394667.0,3.394667,1.0145744330250737
Mayo Clinic Hospital,1,3394667.0,3.394667,1.0145744330250737
Novant Health Cancer Institute,2,3353655.0,3.353655,1.002317052066286
Local Institution - 0065,1,3320927.0,3.320927,0.9925355353390063
Baptist Health Miami Cancer Institute,1,3311115.0,3.311115,0.9896029931082538
Miami Cancer Institute at Baptist Health,1,3311115.0,3.311115,0.9896029931082538
Moffitt Cancer Center,2,3297357.0,3.297357,0.9854910978768338
University of Minnesota,1,3255843.0,3.255843,0.9730836826538964
Masonic Cancer Center,1,3255843.0,3.255843,0.9730836826538964
University of Minnesota Medical School,1,3255843.0,3.255843,0.9730836826538964
Local Institution - 0219,1,3255843.0,3.255843,0.9730836826538964
Stony Brook Cancer Center,1,3211427.0,3.211427,0.9598089378800374
Local Institution - 0221,1,3211427.0,3.211427,0.9598089378800374
Moffitt Cancer Center Magnolia Campus,1,3189753.0,3.189753,0.9533311636944146
H. Lee Moffitt Cancer Center,1,3189753.0,3.189753,0.9533311636944146
H. Lee Moffitt Cancer Center and Research Institute Hospital,1,3189753.0,3.189753,0.9533311636944146
Moffit Cancer Center,1,3189753.0,3.189753,0.9533311636944146
Colorado Blood Cancer Institute,1,3135968.0,3.135968,0.9372562774448198
Sarah Cannon - Colorado Blood Cancer Institute,1,3135968.0,3.135968,0.9372562774448198
Rocky Mountain Cancer Centers,1,3135968.0,3.135968,0.9372562774448198
UC San Diego Health,1,3098210.0,3.09821,0.9259714293456806
University of San Diego (UCSD)-Moores Cancer Center,1,3098210.0,3.09821,0.9259714293456806
Scripps Clinic,1,3098210.0,3.09821,0.9259714293456806
SCRI - Colorado Blood Cancer Institute (CBCI),1,3098210.0,3.09821,0.9259714293456806
University of California San Diego Moores Cancer Center,1,3098210.0,3.09821,0.9259714293456806
UC San Diego Moores Cancer Center,1,3098210.0,3.09821,0.9259714293456806
CU Anschutz Medical Campus,1,3075697.0,3.075697,0.9192429006827237
University of Colorado,1,3075697.0,3.075697,0.9192429006827237
University of Colorado - Aurora Cancer Center,1,3075697.0,3.075697,0.9192429006827237
Children's Hospital Colorado,1,3075697.0,3.075697,0.9192429006827237
University of Colorado Hospital,1,3075697.0,3.075697,0.9192429006827237
Advent Health Cancer Institute,1,2822339.0,2.822339,0.8435210259885736
AdventHealth,1,2822339.0,2.822339,0.8435210259885736
Orlando Health Cancer Institute,1,2798714.0,2.798714,0.8364601505094125
Local Institution - 0228,1,2781218.0,2.781218,0.8312310678688452
Advent Health,1,2781218.0,2.781218,0.8312310678688452
Advent Health Orlando,1,2781218.0,2.781218,0.8312310678688452
Levine Cancer Institute,2,2583286.0,2.583286,0.7720745300766203
University of Michigan,1,2458342.0,2.458342,0.7347321374472741
C.S. Mott Children's Hospital,1,2458342.0,2.458342,0.7347321374472741
Oregon Health and Science University Knight Cancer Institute,1,2413343.0,2.413343,0.7212831496933367
Oregon Health and Science University,1,2413343.0,2.413343,0.7212831496933367
Oregon Health & Science University,1,2413343.0,2.413343,0.7212831496933367
Oregan Health & Science University,1,2413343.0,2.413343,0.7212831496933367
Lifespan Cancer Institute at Rhode Island Hospital,1,2353891.0,2.353891,0.7035145499478516
University of California Davis Medical Center,1,2345014.0,2.345014,0.7008614540059039
University of California Davis Comprehensive Cancer Center,1,2345014.0,2.345014,0.7008614540059039
Methodist Children's Hospital,1,2326401.0,2.326401,0.6952985301839515
Methodist HealthCare System of San Antonio Clinical Trials Office,1,2326401.0,2.326401,0.6952985301839515
Sarah Cannon - Texas Transplant Institute at Methodist Hospital,1,2326401.0,2.326401,0.6952985301839515
Sarah Cannon Research Institute - Methodist Healthcare,1,2326401.0,2.326401,0.6952985301839515
Texas Transplant Institute,1,2326401.0,2.326401,0.6952985301839515
SCRI,1,2326401.0,2.326401,0.6952985301839515
Novant Health Cancer Institute Hematology,1,2318973.0,2.318973,0.6930785012713925
Novant Health Cancer Institute- Hematology,1,2318973.0,2.318973,0.6930785012713925
Local Institution - 0067,1,2318973.0,2.318973,0.6930785012713925
Atrium Health Levine Cancer Institute - Morehead,1,2318973.0,2.318973,0.6930785012713925
University Hospitals Seidman Cancer Center,1,2315219.0,2.315219,0.6919565318936667
University Hospitals Cleveland Medical Center Seidman Cancer Center,1,2315219.0,2.315219,0.6919565318936667
University Hospitals Cleveland Medical Center,1,2315219.0,2.315219,0.6919565318936667
Washington University Siteman Cancer Center,1,2313971.0,2.313971,0.6915835383445453
Washington University School of Medicine/Siteman Cancer Center,1,2313971.0,2.313971,0.6915835383445453
Washington University,1,2313971.0,2.313971,0.6915835383445453
Washington University School of Medicine - Siteman Cancer Center,1,2313971.0,2.313971,0.6915835383445453
Washington University School of Medicine,1,2313971.0,2.313971,0.6915835383445453
Washington University Saint Louis,1,2313044.0,2.313044,0.6913064830400296
Oncology Hematology Care,2,2272083.0,2.272083,0.679064344606086
Oncology Hematology Care Clinical Trials,2,2272083.0,2.272083,0.679064344606086
Oncology Hematology Care Clinial Trials,1,2237157.0,2.237157,0.6686259049453377
Yale New Haven Hospital - Yale Cancer Center,1,2230418.0,2.230418,0.6666117995546893
Oncology Hematology Care - Kenwood,1,2220097.0,2.220097,0.6635271309485339
St. David's South Austin Medical Center,1,2202652.0,2.202652,0.6583132908328105
Local Institution - 0069,1,2202652.0,2.202652,0.6583132908328105
Sarah Cannon Research Institute - St. David's South Austin Medical Center,1,2202652.0,2.202652,0.6583132908328105
Sarah Cannon - St. David's South Austin Medical Center,1,2202652.0,2.202652,0.6583132908328105
Sarah Cannon - St. David South Austin Medical Center,1,2202652.0,2.202652,0.6583132908328105
Texas Oncology - Central South,1,2156913.0,2.156913,0.6446431370321185
Cincinnati Children's Hospital Medical Center,1,2108191.0,2.108191,0.6300814449645762
University of Cincinnati,1,2100390.0,2.10039,0.6277499364095313
TRIHEALTH Good Samarithan Hospital,1,2099170.0,2.09917,0.6273853113054222
University of Cincinnati Medical Center,1,2063829.0,2.063829,0.6168228393346695
University of Cincinnatti Medical Center,1,2063829.0,2.063829,0.6168228393346695
University of Kansas Cancer Center,1,2039511.0,2.039511,0.6095548448414531
University of Kansas,1,2039511.0,2.039511,0.6095548448414531
The University of Kansas Hospital,1,2039511.0,2.039511,0.6095548448414531
The University of Kansas Cancer Center - Westwood,1,2039511.0,2.039511,0.6095548448414531
The University of Kansas Cancer Center,1,2039511.0,2.039511,0.6095548448414531
Allegheny Health Network,1,2027380.0,2.02738,0.6059292160398572
Allegheny Health Network Cancer Institute,1,2027380.0,2.02738,0.6059292160398572
MidAmerica Cancer Care,1,2009087.0,2.009087,0.6004619315894744
University of Pittsburgh - Hillman Cancer Center,1,2000873.0,2.000873,0.5980069884704974
University of Pittsburgh Medical Center,1,1996234.0,1.996234,0.5966205164557745
UPMC Hillman Cancer Center,1,1996234.0,1.996234,0.5966205164557745
Local Institution - 0023,1,1996234.0,1.996234,0.5966205164557745
Local Institution - 0232,1,1993426.0,1.993426,0.5957812809702514
West Penn Hospital,1,1993426.0,1.993426,0.5957812809702514
IU Melvin and Bren Simon Comprehensive Cancer Center,1,1946833.0,1.946833,0.581855889596683
Indiana University,1,1946833.0,1.946833,0.581855889596683
Riley Hospital for Children,1,1946833.0,1.946833,0.581855889596683
Indiana University Melvin and Bren Simon Comprehensive Cancer Center,1,1946833.0,1.946833,0.581855889596683
Nationwide Children's Hospital,2,1941244.0,1.941244,0.5801854881976128
Indiana Blood and Marrow Transplantation,1,1922225.0,1.922225,0.5745012219229816
Medical Oncology Hematology Consultants,1,1908025.0,1.908025,0.5702572248095811
University of Utah,1,1895085.0,1.895085,0.5663898077217357
Huntsman Cancer Institute,1,1895085.0,1.895085,0.5663898077217357
Huntsman Cancer Institute at the University of Utah,1,1895085.0,1.895085,0.5663898077217357
Ohio State University,1,1893720.0,1.89372,0.5659818460273842
Ohio State University - Comprehensive Cancer Center,1,1893720.0,1.89372,0.5659818460273842
